tconst	directors	writers
tt0000111	nm0005690	nm0410331
tt0000112	nm0005690	nm0410331
tt0000113	nm0005690	nm0410331
tt0000114	nm0617588	\N
tt0000115	nm0617588	\N
tt0000116	nm0617588	\N
tt0000117	nm0234288	\N
tt0000118	nm0617588	\N
tt0000119	nm0617588	\N
tt0000120	nm0617588	\N
tt0000121	nm0609678	\N
tt0000122	nm0617588	\N
tt0000123	nm0617588	\N
tt0000124	nm0617588	\N
tt0000125	\N	\N
tt0000126	nm0617588	\N
tt0000127	nm0617588	\N
tt0000128	nm0617588	\N
tt0000129	nm0617588	\N
tt0000130	nm0617588	\N
tt0000131	nm0617588	\N
tt0000132	nm0617588	nm0617588
tt0000133	nm0617588	\N
tt0000134	\N	\N
tt0000135	nm0005690	\N
tt0000137	nm0349785	\N
tt0000138	nm0617588	nm0617588
tt0000139	nm0349785	\N
tt0000140	nm0349785	\N
tt0000141	nm0349785	\N
tt0000142	nm0924920	\N
tt0000143	nm0349785	\N
tt0000144	nm0349785	\N
tt0000145	nm0349785	\N
tt0000146	nm0349785	\N
tt0000147	nm0714557	\N
tt0000148	nm0349785	\N
tt0000149	nm0617588	\N
tt0000150	nm0349785	\N
tt0000151	nm0617588	\N
tt0000152	nm0617588	\N
tt0000153	nm0808310	\N
tt0000154	nm0010291	\N
tt0000155	nm0617588	\N
tt0000156	nm0617588	\N
tt0000157	nm0349785	\N
tt0000158	nm0349785	\N
tt0000159	nm0617588	\N
tt0000160	nm0095816	\N
tt0000161	nm0349785	\N
tt0000162	nm0698645	\N
tt0000163	nm0349785	\N
tt0000164	nm0349785	\N
tt0000165	nm0005717	nm0005717
tt0000166	nm0005717	\N
tt0000167	nm0422809	\N
tt0000168	nm0005717	\N
tt0000169	nm0698645	\N
tt0000170	nm0666972	\N
tt0000171	nm0349785	\N
tt0000172	nm0808310	\N
tt0000173	nm0085865	\N
tt0000174	nm0471818	nm0841389
tt0000175	nm0795060	\N
tt0000176	\N	\N
tt0000177	nm0085865	\N
tt0000178	nm0692105	\N
tt0000179	nm0617588	\N
tt0000180	nm0349785	\N
tt0000181	nm0808310	nm0674518
tt0000182	nm0666972	\N
tt0000183	nm0808310	nm0241416
tt0000184	nm0924920	\N
tt0000185	nm0349785	\N
tt0000186	nm0617588	\N
tt0000187	nm0349785	\N
tt0000188	nm0666972	\N
tt0000189	nm0005717	nm0005717
tt0000190	nm0471818	nm0841389
tt0000191	nm0349785	\N
tt0000192	nm0924920	nm0238900
tt0000193	nm0349785	\N
tt0000194	nm0378408	\N
tt0000195	nm0349785	\N
tt0000196	nm0808310	nm0324473
tt0000197	nm0349785	\N
tt0000198	nm0349785	\N
tt0000199	\N	\N
tt0000200	\N	\N
tt0000201	nm0005690	\N
tt0000202	nm0349785	\N
tt0000203	nm0349785	\N
tt0000204	nm0349785	\N
tt0000205	nm0349785	\N
tt0000206	nm0005717	\N
tt0000207	\N	\N
tt0000208	nm0808310	\N
tt0000209	nm0808310	\N
tt0000210	nm0617588	\N
tt0000211	nm0617588	nm0617588
tt0000212	nm0795060	\N
tt0000213	nm0349785	\N
tt0000214	nm0085865	\N
tt0000215	nm0471818	nm0841389
tt0000216	nm0005717	\N
tt0000217	nm0808310	\N
tt0000218	nm0617588	nm0617588
tt0000219	nm0808310	\N
tt0000220	\N	\N
tt0000221	nm0182052	\N
tt0000222	nm0349785	\N
tt0000223	nm0349785	\N
tt0000224	\N	\N
tt0000225	\N	nm0207305
tt0000226	\N	\N
tt0000227	nm4427898	\N
tt0000228	nm0349785	\N
tt0000229	nm0924920	nm0857203
tt0000230	nm0617588	nm0674518
tt0000231	nm0795060	\N
tt0000232	nm0349785	\N
tt0000233	nm0005717	nm0005717
tt0000234	nm0617588	\N
tt0000235	nm0617588	nm0353584
tt0000236	nm0349785	\N
tt0000237	nm0349785	\N
tt0000238	nm0349785	\N
tt0000239	nm0349785	\N
tt0000240	\N	\N
tt0000241	nm0349785	\N
tt0000242	nm0617588	nm0617588
tt0000243	nm0349785	\N
tt0000244	nm0349785	\N
tt0000245	\N	\N
tt0000246	nm0617588	\N
tt0000247	nm2156608,nm0005690,nm0002504	nm0000636,nm0002504
tt0000248	nm0808310	\N
tt0000249	nm0808310	\N
tt0000250	nm0005717	\N
tt0000251	nm0177862	\N
tt0000252	nm0349785	\N
tt0000253	nm0095816	\N
tt0000254	nm0349785	\N
tt0000255	nm0349785	\N
tt0000256	\N	\N
tt0000257	nm0349785	\N
tt0000258	nm0349785	\N
tt0000259	nm0349785	\N
tt0000260	nm0349785	\N
tt0000261	nm0617588	\N
tt0000262	nm0349785	\N
tt0000263	\N	\N
tt0000264	nm0617588	\N
tt0000265	\N	\N
tt0000266	\N	\N
tt0000267	nm0349785	\N
tt0000268	nm0349785	\N
tt0000269	nm0666972	\N
tt0000270	nm0349785	\N
tt0000271	nm0349785	\N
tt0000272	nm0808310	\N
tt0000273	nm0932055	nm0932055
tt0000274	nm0349785	\N
tt0000275	nm0349785	\N
tt0000276	nm0349785	\N
tt0000277	nm0349785	\N
tt0000278	\N	\N
tt0000279	\N	\N
tt0000280	\N	\N
tt0000281	\N	\N
tt0000282	nm0349785	\N
tt0000283	nm0349785	\N
tt0000284	nm0349785	\N
tt0000285	nm0095816	\N
tt0000286	nm0349785	\N
tt0000287	nm0085865,nm0807236	\N
tt0000288	nm0349785	\N
tt0000289	nm0349785	\N
tt0000290	nm0349785	\N
tt0000291	nm0349785	\N
tt0000292	nm0349785	\N
tt0000293	nm0349785	\N
tt0000294	nm0349785	\N
tt0000295	nm0349785	\N
tt0000296	nm0349785	\N
tt0000297	nm0349785	\N
tt0000298	nm0349785	\N
tt0000299	nm0349785	\N
tt0000300	nm0085865	\N
tt0000301	nm0692105	nm0324473
tt0000302	nm0349785	\N
